xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164563, -0.484274, 0.189781, 0.000396685, -0.000242295, -0.00027087, -0.0465869, -0.0153578, -0.0538677
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164581, -0.484279, 0.189773, 0.00140853, -0.000357298, -0.00057672, -0.046606, -0.0153854, -0.0539149
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164521, -0.484274, 0.189776, 0.000448798, -0.000200174, -0.000982749, -0.0466371, -0.0154099, -0.053944
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164496, -0.484257, 0.189776, 9.71944e-05, -0.000221368, -0.000670825, -0.0466517, -0.0152916, -0.0539129
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164501, -0.48426, 0.189765, 0.000246845, -0.000392844, -0.0010213, -0.0466619, -0.0152628, -0.0539497
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164472, -0.484292, 0.189755, -1.16402e-05, -0.000985984, -0.000963157, -0.046685, -0.0152418, -0.0541076
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164471, -0.484304, 0.18975, -0.000233035, -0.00096904, -0.000492373, -0.0466896, -0.0153046, -0.0541094
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164398, -0.484243, 0.189792, -0.00135557, -0.000176542, 1.90465e-05, -0.0465764, -0.0151588, -0.0541589
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164376, -0.484249, 0.189785, -0.00181806, -0.000472129, -0.000601089, -0.046577, -0.015136, -0.0541561
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164376, -0.484249, 0.189785, -0.00181806, -0.000472129, -0.000601089, -0.046577, -0.015136, -0.0541561
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164448, -0.484218, 0.189792, -0.000580393, 0.000172102, -0.000789841, -0.0464884, -0.0151463, -0.0542848
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164438, -0.484223, 0.189779, -0.000878747, -0.00025724, -0.000944648, -0.0464629, -0.015176, -0.0542855
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164436, -0.484163, 0.189799, -0.00102376, 0.000356313, -0.000781604, -0.0462992, -0.0151829, -0.0542847
