xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117458, -0.508181, 0.191424, 0.00128154, -0.000664346, 0.000746814, -0.0379138, -0.00976755, -0.045911
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11747, -0.508188, 0.191433, 0.00110613, -0.000618298, 0.000866425, -0.0379444, -0.00979447, -0.0459138
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117365, -0.508229, 0.191393, -0.000193084, -0.00142428, 0.000648013, -0.0378796, -0.00960232, -0.0461639
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117365, -0.508229, 0.191393, -0.000193084, -0.00142428, 0.000648013, -0.0378796, -0.00960232, -0.0461639
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117389, -0.508255, 0.191427, -9.12877e-06, -0.001512, 0.00104481, -0.0378129, -0.00962826, -0.0461373
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117348, -0.508181, 0.191424, -0.00030193, -0.000347924, 0.00146921, -0.0377058, -0.00947301, -0.0462525
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117323, -0.508183, 0.191426, -0.000503806, -0.000298644, 0.00152653, -0.0376852, -0.0095306, -0.0462219
