xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, 5.55095e-05, -3.96623e-05, -0.308658, -1.09591e-05, -1.09665e-05, 5.07913e-05, -0.000118769, 0.000591604, 0.000340067, -0.0195086, -0.00549002, 0.0975834
0, 0, 0, 0, 0, 0, -4.26998e-05, -6.41733e-05, -0.308706, -1.32178e-05, 4.29841e-06, 5.46338e-05, -6.15827e-05, 0.000843836, 0.000296212, -0.0194676, -0.00553789, 0.0976291
0, 0, 0, 0, 0, 0, -0.000244132, -2.88093e-05, -0.308588, -1.00171e-05, 1.73933e-05, 5.46425e-05, 0.000111729, 0.000948643, 0.000203371, -0.0195367, -0.00557199, 0.0976972
0, 0, 0, 0, 0, 0, -0.000350207, 4.52896e-06, -0.308732, -1.00171e-05, 1.73933e-05, 5.46425e-05, 0.000111729, 0.000948643, 0.000203371, -0.0195367, -0.00557199, 0.0976972
0, 0, 0, 0, 0, 0, -0.000390296, 8.12501e-05, -0.308948, -8.57862e-06, 3.47335e-05, 4.32208e-05, 0.000117324, 0.00122023, -0.000165632, -0.0195889, -0.00551878, 0.0976854
0, 0, 0, 0, 0, 0, -0.000506849, 9.54419e-05, -0.30891, -7.76704e-06, 5.42466e-05, 2.29358e-05, 0.000130655, 0.00141208, -0.000535729, -0.0195949, -0.00554859, 0.0977005
0, 0, 0, 0, 0, 0, -0.000506849, 9.54419e-05, -0.30891, -1.20802e-05, 6.41429e-05, -3.46547e-06, -2.25297e-05, 0.00104794, -0.000844856, -0.0197278, -0.00562968, 0.0977574
0, 0, 0, 0, 0, 0, -0.000591088, 0.000109478, -0.308958, -1.92987e-05, 7.01773e-05, -3.70487e-05, -0.000153942, 0.000811783, -0.00123779, -0.0197358, -0.0055883, 0.0977032
0, 0, 0, 0, 0, 0, -0.000451254, 3.10226e-05, -0.309138, -3.30445e-05, 7.64653e-05, -7.25815e-05, -0.000413773, 0.000709741, -0.00155291, -0.0197928, -0.00567766, 0.0977867
0, 0, 0, 0, 0, 0, -0.000361868, -3.44532e-05, -0.308967, -4.3324e-05, 7.57602e-05, -0.000100782, -0.000394526, 0.000400019, -0.00149968, -0.0198197, -0.00571891, 0.0978382
